id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34534440,SuperHost Downtown Michigan Ave in Historic Area,49626033,Roma,,Near North Side,41.89862,-87.62138,Entire home/apt,150,31,2,2019-12-23,0.06,35,347,0,R19000042643
34541121,Loop Getaway w/ ♔ King Bed ♔ & Gym,212229650,Gerald,,Loop,41.88818,-87.61955,Entire home/apt,400,32,1,2019-06-30,0.03,6,0,0,City registration pending
34541497,King Bed & Netflix & Gym & Millennium Park,163739390,Ralph,,Loop,41.88748,-87.61777,Entire home/apt,400,32,0,,,9,0,0,City registration pending
34545426,Large groups welcome! 20+ by Wrigley and Logan.,17251828,Kaushal,,Avondale,41.93261,-87.69206,Entire home/apt,1286,2,0,,,3,178,0,R17000014233
34563816,King Bed Modern Apartment near Lakeshore Park,260805765,Paul,,Loop,41.88674,-87.62155,Entire home/apt,400,32,1,2019-07-20,0.03,6,0,0,City registration pending
34564058,ONLY SWIMMING POOL still OPEN INDOORS,260807399,John,,Loop,41.88615,-87.62329,Entire home/apt,400,32,4,2019-11-01,0.12,6,90,0,City registration pending
34565182,Gold Coast/Michigan Ave/Downtown 1 Bedroom,259191558,Walton,,Near North Side,41.90074,-87.62465,Entire home/apt,350,2,8,2021-10-17,0.26,5,0,3,R19000041780
34568002,GREAT Downtown UNIT 24/7 GYM +TV Netflix WIFI,3965428,Rob,,Near North Side,41.89174,-87.61711,Entire home/apt,140,31,8,2022-01-04,0.25,88,340,2,R19000050295
34574380,SuperHost Perfect Location DOWNTOWN | QUEEN BED |,3965428,Rob,,Near North Side,41.89843,-87.62186,Entire home/apt,120,32,0,,,88,365,0,City registration pending
34574634,"Urban Retreat: 20mins to Wrigley, MagMile & O'Hare",34773184,Lynette + Efrain,,Irving Park,41.95457,-87.72258,Entire home/apt,134,2,27,2022-03-13,1.55,1,121,23,R19000041311
34590811,Cool! 2nd Story Loft. Great Location. Super CLEAN!,36140345,Melissa,,West Town,41.90176,-87.67139,Entire home/apt,124,3,46,2022-01-31,1.48,2,212,30,R0000055318
34596043,✈️ Modern Business Ready Studio w/ King Bed,163739390,Ralph,,Loop,41.88467,-87.62483,Entire home/apt,400,32,4,2019-11-07,0.12,9,0,0,City registration pending
34597480,Bright One-Bedroom on the Park,23006345,Madeline,,Hyde Park,41.789,-87.58865,Entire home/apt,248,1,5,2021-12-12,0.16,1,297,3,R19000041362
34601264,Spacious Vintage 3 Bedroom w/2 Private Offices!,52725236,Wendi,,Logan Square,41.92142,-87.702,Entire home/apt,104,3,91,2022-02-28,2.77,3,15,34,R19000041354
34622778,A Slice of Heaven in the Windy City,6452801,Idris,,Greater Grand Crossing,41.76678,-87.63288,Shared room,95,2,7,2022-03-13,0.22,2,363,2,R19000041343
34624048,Heart of Downtown Studio Ideal for Family Trip,163739390,Ralph,,Near North Side,41.89601,-87.63067,Entire home/apt,400,32,7,2019-10-21,0.21,9,0,0,City registration pending
34624805,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.627335,Hotel room,124,1,6,2021-11-25,0.19,24,259,2,R18000024404
34625919,Spacious 3-BR Penthouse near Medical District,9094538,Nicole,,Near West Side,41.87202,-87.68713,Entire home/apt,189,1,34,2021-12-31,0.99,28,0,17,City registration pending
34647251,Quadruple Room: Perfect for Friends,57387860,Freehand,,Near North Side,41.892509,-87.616173,Hotel room,169,1,280,2022-03-14,8.70,24,258,251,R18000024404
34648201,Female Only  - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.892509,-87.616173,Hotel room,52,1,339,2022-03-10,9.84,24,259,196,R18000024404
34656149,Charming Apt in perfect Horner Park location,5813124,Dan,,Irving Park,41.96038,-87.70027,Entire home/apt,60,3,6,2020-03-17,0.21,1,0,0,R19000049542
34677756,Logan Square Room 606,28462890,Curtis,,Logan Square,41.91607,-87.70546,Private room,75,2,3,2019-06-30,0.09,2,0,0,R20000053693
34684299,CONVENIENCE RIVER NORTH MODERN APARTMENT Free WiFi,3965428,Rob,,Near North Side,41.89848,-87.62176,Entire home/apt,140,32,0,,,88,365,0,City registration pending
34685327,SuperHost SUITABLE CONVENIENCE RIVER NORTH WiFi,49626033,Roma,,Near North Side,41.88914,-87.6354,Entire home/apt,185,32,0,,,35,365,0,City registration pending
34711416,Gorgeous 1BR in River North!,161025335,Samantha,,Near North Side,41.89216,-87.62972,Entire home/apt,240,13,0,,,2,0,0,City registration pending
34711681,NEW ONE BED LOGAN SQUARE BRAND MODERN CONDO,70082959,Shay,,Logan Square,41.92286,-87.69829,Entire home/apt,120,30,3,2019-09-21,0.09,2,365,0,R19000041808
34714722,Hidden Gem in South Logan Square,20784663,Will,,Humboldt Park,41.91307,-87.7042,Entire home/apt,113,1,83,2022-01-02,2.40,1,85,28,R19000041358
34719701,Cozy & Comfy in a Hidden Gem Chicago Neighborhood.,261037264,Anna,,Portage Park,41.96144,-87.77439,Entire home/apt,128,1,103,2022-03-08,3.14,1,347,57,R20000057504
34722288,SuperHost Perfect Location DOWNTOWN | QUEEN BED |,3965428,Rob,,Near North Side,41.89846,-87.621681,Entire home/apt,125,32,4,2021-08-04,0.12,88,322,1,City registration pending
34748305,Private North Park Garden Apartment,7230096,Brian,,North Park,41.98464,-87.71787,Entire home/apt,83,60,21,2019-11-04,0.60,1,16,0,R19000041852
34748986,SuperHost Downtown Apartment w/ Amenities | PRIME,3965428,Rob,,Near North Side,41.89862,-87.62173,Entire home/apt,125,32,1,2021-09-01,0.15,88,346,1,City registration pending
34749167,"Huge, bright, beautiful apartment in Hyde Park",6154705,Mara,,Hyde Park,41.80091,-87.59406,Entire home/apt,125,6,3,2019-06-26,0.09,1,0,0,R18000031858
34750745,Montecatini Terme,9482659,Janice,,Near North Side,41.90638,-87.62817,Entire home/apt,155,1,14,2020-11-25,0.42,1,0,0,R17000014070
34774170,Expansive 5 Bed Home near Chicago's HOT West Loop,37449594,Nick,,Near West Side,41.87878,-87.6791,Entire home/apt,718,1,102,2022-03-13,3.10,2,313,38,R20000056448
34781183,Chicago's Forest Retreat,31543811,Kim,,North Park,41.9841,-87.71603,Private room,138,1,3,2021-10-24,0.09,3,355,2,R21000064603
34781915,City sanctuary,31543811,Kim,,North Park,41.98242,-87.71792,Private room,125,1,12,2022-01-11,0.35,3,355,5,R19000041855
34782516,312 Riverhouse,31543811,Kim,,North Park,41.982,-87.71611,Entire home/apt,295,2,17,2022-03-13,1.89,3,315,17,R19000041855
34784502,Female Only - 1 bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.892509,-87.616173,Hotel room,52,1,95,2022-02-23,2.84,24,259,26,R18000024404
34785627,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.8923,-87.627335,Hotel room,52,1,53,2022-01-09,1.56,24,259,25,R18000024404
34785638,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.8923,-87.627335,Hotel room,52,1,15,2022-03-14,0.47,24,259,5,R18000024404
34787964,Luxury West Loop Condo,259756819,Joshua,,Near West Side,41.8825866994576,-87.6419279463698,Entire home/apt,200,2,0,,,1,359,0,City registration pending
34788331,Cozy Quiet Flat in Edgewater Glen,6136260,Keith & Janell,,Edgewater,41.9921,-87.66001,Entire home/apt,250,2,34,2022-03-13,1.23,1,294,19,R19000051612
34789562,2 bedroom apartment in Pilsen,42027768,Vilma,,Lower West Side,41.85601,-87.67138,Entire home/apt,120,30,4,2021-06-20,0.17,2,100,1,R18000026639
34807624,Charming 2 Bedroom Apartment in Logan Square,27839698,Kyle,,Logan Square,41.91823,-87.70937,Entire home/apt,156,1,81,2022-03-10,2.38,1,356,23,R21000071765
34816864,给您一个温馨的家,42071010,Jenny,,Bridgeport,41.83016,-87.64557,Entire home/apt,366,32,0,,,2,0,0,City registration pending
34817544,The Best Neighborhood In Chicago Hip Bright Studio,10917550,Nicky,,West Town,41.90287,-87.67223,Entire home/apt,77,32,106,2022-01-17,3.08,6,174,45,City registration pending
34818035,"3 BR 3 BTH - UIC, Med Dist & Down Town + Garage",204270988,Abacus,,Near West Side,41.8709,-87.68762,Entire home/apt,110,1,53,2022-03-12,1.60,4,343,25,R21000069479
34819360,Historic Pullman/Color Splash/Great Neighborhood,156698136,Dave & K. Dale,,Pullman,41.6882,-87.60491,Entire home/apt,99,2,54,2022-01-02,1.74,2,87,25,R19000042635
34819528,Bronzeville Beauty: Modern Style + Historic Charm,39623470,Brian,,Douglas,41.8258,-87.61993,Entire home/apt,95,1,108,2022-03-06,3.18,1,87,38,R19000041801
34861726,Luxury furnished studio in Lincoln Park 6,172402450,Lora,,Lincoln Park,41.9319,-87.66491,Entire home/apt,64,1,150,2022-02-28,4.36,7,64,47,2204419
34863400,"Stylish Two Bed, One Bathroom",164156023,Anthony,,Lower West Side,41.85862,-87.67896,Entire home/apt,127,2,11,2021-08-02,0.32,1,0,1,City registration pending
34867499,Modern and new furnished studio in Lakeview 7,172402450,Lora,,Lincoln Park,41.93141,-87.66519,Entire home/apt,65,1,173,2022-02-28,5.04,7,104,59,2204419
34887882,"Homey Gold Coast 1BR w/ Gym, Pool, W/D near Mag Mile by Blueground",107434423,Blueground,,Near North Side,41.898903,-87.627968,Entire home/apt,167,30,0,,,438,223,0,32+ Days Listings
34888974,"Sunny, quiet and clean condo in Roscoe Village",737585,Pat,,North Center,41.94043,-87.68306,Entire home/apt,102,2,84,2022-02-21,2.51,1,331,40,R19000037469
34890754,Rock and Roll Paradise,19578992,Laura,,West Town,41.89564,-87.65398,Entire home/apt,2154,1,3,2022-03-14,0.09,2,352,2,R17000014407
34902785,Entire Loft in Heart of Wicker Park with Parking,1250686,Cindy,,West Town,41.91101,-87.67559,Entire home/apt,80,31,47,2020-07-23,1.38,1,0,0,City registration pending
34909897,Lincoln Park DePaul U stylish furnished studio 8,172402450,Lora,,Lincoln Park,41.9324,-87.66509,Entire home/apt,62,1,163,2022-02-28,4.77,7,88,64,2204419
34913110,Oasis 1 - 4 Bedroom Condo - McCormick Place,178710732,Annie,,Armour Square,41.85349,-87.63398,Entire home/apt,339,1,8,2021-06-13,0.24,19,252,2,R21000072615
